id,session_id,session_name,paper_order
157,37,AI and Digital Economy Policy,1
196,37,AI and Digital Economy Policy,2
197,37,AI and Digital Economy Policy,3
211,37,AI and Digital Economy Policy,4
171,39,Humanitarian and Development Policy,1
177,39,Humanitarian and Development Policy,2
180,39,Humanitarian and Development Policy,3
90,40,Industrial Policy Frameworks,1
118,40,Industrial Policy Frameworks,2
176,40,Industrial Policy Frameworks,3
59,40,"Product innovation is a function of the component units of a firm processually aligning to create a novel solution to a firm's goals. Product innovation is thus a representation of a firm's capacities, including the ability to grasp market direction. This means that product innovation is both a process of hypothesis-making about firm capacity to engage a market and a representation of that firm's market perception.

   Understanding product innovation as an emergent representational strategy gives a single formal framework for what is often seen as a function of several parts of an organization collaborating across internal boundaries. The rise of ""product"" roles in this century speaks to the need for a complexity management function within the productive process, just as the decay of traditional middle management speaks to a rationalization of the operating processes of large firms. Viewing novel products as representations of a firm akin to quarterly statements, as readable documentation of the firm's ability to innovate and that firm's beliefs about the nature and direction of the markets they serve adds to the means by which firm capacity can be understood.

   By understanding product innovation as a materially representative hypothesis simultaneously concerning the nature of the firm and its surrounding markets, we can better understand the pragmatic application of innovation to times that may be more uncertain than usual. This paper draws on ethnographic research in nascent innovation ecosystems and present practice in product innovation.",4
25,41,"Private Capital, Innovation Policy, and Regulatory Strategy",1
45,41,"Private Capital, Innovation Policy, and Regulatory Strategy",2
74,41,"Private Capital, Innovation Policy, and Regulatory Strategy",3
191,41,"Private Capital, Innovation Policy, and Regulatory Strategy",4
41,42,Industrial Statecraft and Emerging Technology Policy,1
161,42,Industrial Statecraft and Emerging Technology Policy,2
